X,Y,fid,full_id,osm_id,osm_type,amenity,operator,name:te,name,healthcare,layer,path
78.3916647,17.4406857,"1",n349267517,"349267517",node,hospital,,,Vikram Hospitals,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3860746,17.4444337,"2",n349270023,"349270023",node,hospital,,ఇమేజ్ హాస్పిటల్స్,Image Hospitals,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4478775,17.4417142,"3",n513439512,"513439512",node,hospital,,అమీర్‌పేట ప్రభుత్వ ఆసుపత్రి,Ameerpet Government Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4480341,17.4422795,"4",n513439517,"513439517",node,hospital,,శ్రీ విజయ హాస్పిటల్స్,Sri Vijaya Hospitals,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4461255,17.4415414,"5",n538425761,"538425761",node,hospital,,శ్రీ ప్రియ మల్టీ స్పెషాలిటీ హాస్పిటల్,Sree Priya Multi Speciality Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4859878,17.3672265,"6",n626897112,"626897112",node,hospital,,,Rahmat Ali hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.512174,17.407574,"7",n634123949,"634123949",node,hospital,,,Satya Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.533452,17.4293162,"8",n665132280,"665132280",node,hospital,,,Innova Children's Heart Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5333362,17.4290954,"9",n665132281,"665132281",node,hospital,,,Apollo Clinic,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4645023,17.40681,"10",n726165655,"726165655",node,hospital,,,Vasavi ENT Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4570626,17.4036641,"11",n726240837,"726240837",node,hospital,,,Mahavir Hospital and Research Centre,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4814113,17.3985586,"12",n727283253,"727283253",node,hospital,,,Old Apollo Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4625295,17.4021334,"13",n728848279,"728848279",node,hospital,,,Krishna Children's Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3937323,17.4301742,"14",n827576106,"827576106",node,hospital,,,Arogyasree Health care trust,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4447966,17.3990359,"15",n893195080,"893195080",node,hospital,,,Surojini Devi Eye Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4454609,17.4156911,"16",n894082495,"894082495",node,hospital,,,Star Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4475692,17.4148145,"17",n894082503,"894082503",node,hospital,,,Rainbow Hospitals,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4793651,17.3921498,"18",n898965110,"898965110",node,hospital,,,Fernandez Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4984034,17.4556983,"19",n902311398,"902311398",node,hospital,,,Oxygen Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4778376,17.4693193,"20",n1050786520,"1050786520",node,hospital,,,,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4567398,17.4636217,"21",n1050844412,"1050844412",node,hospital,,,Remedy Hospitals,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.3673949,17.4629614,"22",n1215214084,"1215214084",node,hospital,,,LEAF HOSPITAL,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.364084,17.4535178,"23",n1224523179,"1224523179",node,hospital,,,Ambicare Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5354859,17.4512881,"24",n1435322433,"1435322433",node,hospital,,,L.K. Diagnostic,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5352525,17.4513853,"25",n1435322445,"1435322445",node,hospital,,,L.K. Hospitals,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5311968,17.451435,"26",n1438252866,"1438252866",node,hospital,,,Dental Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.5301893,17.3688309,"27",n1504756065,"1504756065",node,hospital,,,Lakshmi Childrens Hospital,hospital,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
78.4792005,17.3993955,"28",n1553576934,"1553576934",node,hospital,,అపోలో ఎమర్జెన్సీ హాస్పిటల్,Apollo Emergency Hospital,,hospital_points_layer — amenity_hospital_points,C:\Users\Lakshya\Desktop\project_root\qgis_project\hospital_points_layer.gpkg|layername=amenity_hospital_points
